"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!18 years and over!!Male","SEX AND AGE!!18 years and over!!Female","SEX AND AGE!!65 years and over","SEX AND AGE!!65 years and over!!Male","SEX AND AGE!!65 years and over!!Female","RACE","RACE!!Total population","RACE!!Total population!!One race","RACE!!Total population!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!Race alone or in combination with one or more other races!!Total population!!White","RACE!!Race alone or in combination with one or more other races!!Total population!!Black or African American","RACE!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races!!Total population!!Asian","RACE!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander","RACE!!Race alone or in combination with one or more other races!!Total population!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units","CITIZEN, VOTING AGE POPULATION","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female"
"    Estimate","","120,475","59,573","60,902","7,435","7,276","7,766","7,386","7,219","14,663","13,633","15,199","8,771","8,537","13,213","6,603","2,774","41.3","93,372","89,152","27,530","22,590","93,372","45,848","47,524","22,590","10,450","12,140","","120,475","115,871","4,604","115,871","101,897","942","1,958","63","22","46","105","2,364","296","319","1,065","185","243","90","166","357","126","37","138","56","8,353","4,604","457","1,666","665","21","","120,475","106,123","1,708","3,945","3,750","1,021","9,274","","120,475","21,310","19,687","452","6","1,165","99,165","90,922","839","1,774","2,155","276","71","3,128","45","3,083","52,058","","86,200","42,306","43,894"
"    Margin of Error","","*****","±59","±59","±19","±357","±352","±85","±111","±132","±71","±66","±407","±411","±72","±281","±272","±0.4","*****","±236","±363","±47","*****","±35","±35","±47","±29","±40","","*****","±477","±477","±477","±1,165","±166","±268","±40","±14","±57","±69","±248","±163","±157","±272","±79","±97","±43","±81","±98","±93","±41","±87","±49","±1,158","±477","±155","±259","±155","±18","","*****","±1,269","±158","±233","±268","±419","±1,170","","*****","*****","±436","±168","±8","±394","*****","±54","±148","±232","±187","±35","±55","±324","±30","±320","±118","","±665","±373","±442"
"    Percent","","120,475","49.4%","50.6%","6.2%","6.0%","6.4%","6.1%","6.0%","12.2%","11.3%","12.6%","7.3%","7.1%","11.0%","5.5%","2.3%","(X)","77.5%","74.0%","22.9%","18.8%","93,372","49.1%","50.9%","22,590","46.3%","53.7%","","120,475","96.2%","3.8%","96.2%","84.6%","0.8%","1.6%","0.1%","0.0%","0.0%","0.1%","2.0%","0.2%","0.3%","0.9%","0.2%","0.2%","0.1%","0.1%","0.3%","0.1%","0.0%","0.1%","0.0%","6.9%","3.8%","0.4%","1.4%","0.6%","0.0%","","120,475","88.1%","1.4%","3.3%","3.1%","0.8%","7.7%","","120,475","17.7%","16.3%","0.4%","0.0%","1.0%","82.3%","75.5%","0.7%","1.5%","1.8%","0.2%","0.1%","2.6%","0.0%","2.6%","(X)","","86,200","49.1%","50.9%"
"    Percent Margin of Error","","(X)","±0.1","±0.1","±0.1","±0.3","±0.3","±0.1","±0.1","±0.1","±0.1","±0.1","±0.3","±0.3","±0.1","±0.2","±0.2","(X)","*****","±0.2","±0.3","±0.1","(X)","±0.1","±0.1","(X)","±0.1","±0.1","","(X)","±0.4","±0.4","±0.4","±1.0","±0.1","±0.2","±0.1","±0.1","±0.1","±0.1","±0.2","±0.1","±0.1","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±1.0","±0.4","±0.1","±0.2","±0.1","±0.1","","(X)","±1.1","±0.1","±0.2","±0.2","±0.3","±1.0","","(X)","*****","±0.4","±0.1","±0.1","±0.3","*****","±0.1","±0.1","±0.2","±0.2","±0.1","±0.1","±0.3","±0.1","±0.3","(X)","","(X)","±0.3","±0.3"
"Skamania County, Washington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","11,316","5,713","5,603","538","833","561","690","530","1,082","1,321","1,762","1,041","1,023","1,261","536","138","45.4","8,931","8,621","2,515","1,935","8,931","4,488","4,443","1,935","976","959","","11,316","11,142","174","11,142","10,549","104","263","23","0","0","18","106","8","27","30","9","0","5","27","5","0","0","0","5","115","174","10","87","44","8","","11,316","10,713","122","358","162","21","124","","11,316","668","621","9","6","32","10,648","9,989","104","261","106","5","13","170","5","165","5,680","","8,613","4,319","4,294"
"    Margin of Error","","*****","±58","±58","±32","±101","±91","±50","±54","±40","±57","±65","±110","±112","±38","±46","±42","±0.4","±49","±71","±107","±40","±49","±40","±49","±40","±25","±32","","*****","±72","±72","±72","±94","±18","±56","±32","±19","±19","±24","±43","±12","±36","±36","±18","±19","±9","±24","±12","±19","±19","±19","±12","±93","±72","±18","±53","±46","±16","","*****","±123","±16","±12","±19","±19","±94","","*****","*****","±25","±10","±10","±22","*****","±18","±18","±57","±43","±12","±15","±72","±9","±71","±58","","±92","±52","±76"
"    Percent","","11,316","50.5%","49.5%","4.8%","7.4%","5.0%","6.1%","4.7%","9.6%","11.7%","15.6%","9.2%","9.0%","11.1%","4.7%","1.2%","(X)","78.9%","76.2%","22.2%","17.1%","8,931","50.3%","49.7%","1,935","50.4%","49.6%","","11,316","98.5%","1.5%","98.5%","93.2%","0.9%","2.3%","0.2%","0.0%","0.0%","0.2%","0.9%","0.1%","0.2%","0.3%","0.1%","0.0%","0.0%","0.2%","0.0%","0.0%","0.0%","0.0%","0.0%","1.0%","1.5%","0.1%","0.8%","0.4%","0.1%","","11,316","94.7%","1.1%","3.2%","1.4%","0.2%","1.1%","","11,316","5.9%","5.5%","0.1%","0.1%","0.3%","94.1%","88.3%","0.9%","2.3%","0.9%","0.0%","0.1%","1.5%","0.0%","1.5%","(X)","","8,613","50.1%","49.9%"
"    Percent Margin of Error","","(X)","±0.5","±0.5","±0.3","±0.9","±0.8","±0.4","±0.5","±0.4","±0.5","±0.6","±1.0","±1.0","±0.3","±0.4","±0.4","(X)","±0.4","±0.6","±0.9","±0.4","(X)","±0.4","±0.4","(X)","±1.1","±1.1","","(X)","±0.6","±0.6","±0.6","±0.8","±0.2","±0.5","±0.3","±0.3","±0.3","±0.2","±0.4","±0.1","±0.3","±0.3","±0.2","±0.3","±0.1","±0.2","±0.1","±0.3","±0.3","±0.3","±0.1","±0.8","±0.6","±0.2","±0.5","±0.4","±0.1","","(X)","±1.1","±0.1","±0.1","±0.3","±0.2","±0.8","","(X)","*****","±0.2","±0.1","±0.1","±0.2","*****","±0.2","±0.2","±0.5","±0.4","±0.1","±0.1","±0.6","±0.1","±0.6","(X)","","(X)","±0.5","±0.5"
"Snohomish County, Washington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","758,649","380,430","378,219","48,060","47,509","50,254","46,594","48,282","108,102","105,206","113,574","53,127","46,300","55,263","25,132","11,246","37.8","582,828","556,520","117,362","91,641","582,828","290,416","292,412","91,641","40,567","51,074","","758,649","716,207","42,442","716,207","591,763","20,511","7,368","151","235","327","142","73,386","10,486","11,135","12,952","3,585","11,846","11,443","11,939","3,661","840","502","443","1,876","19,518","42,442","7,110","9,449","13,276","1,093","","758,649","629,462","32,138","20,899","91,506","8,264","23,415","","758,649","72,859","53,551","3,276","935","15,097","685,790","546,155","19,427","6,061","72,714","3,599","952","36,882","563","36,319","297,178","","534,199","267,135","267,064"
"    Margin of Error","","*****","±91","±91","*****","±1,091","±1,090","±57","±143","±138","±109","±109","±1,061","±1,076","±100","±586","±570","±0.2","*****","±687","±830","±95","*****","*****","*****","±95","±46","±71","","*****","±1,713","±1,713","±1,713","±2,369","±906","±759","±78","±109","±268","±69","±1,088","±1,335","±1,081","±1,144","±475","±1,301","±1,361","±1,168","±393","±266","±204","±258","±471","±2,353","±1,713","±714","±602","±931","±319","","*****","±3,039","±681","±841","±388","±728","±2,365","","*****","*****","±1,442","±600","±316","±1,489","*****","±423","±776","±552","±1,066","±384","±372","±1,445","±250","±1,472","±269","","±1,688","±1,068","±1,133"
"    Percent","","758,649","50.1%","49.9%","6.3%","6.3%","6.6%","6.1%","6.4%","14.2%","13.9%","15.0%","7.0%","6.1%","7.3%","3.3%","1.5%","(X)","76.8%","73.4%","15.5%","12.1%","582,828","49.8%","50.2%","91,641","44.3%","55.7%","","758,649","94.4%","5.6%","94.4%","78.0%","2.7%","1.0%","0.0%","0.0%","0.0%","0.0%","9.7%","1.4%","1.5%","1.7%","0.5%","1.6%","1.5%","1.6%","0.5%","0.1%","0.1%","0.1%","0.2%","2.6%","5.6%","0.9%","1.2%","1.7%","0.1%","","758,649","83.0%","4.2%","2.8%","12.1%","1.1%","3.1%","","758,649","9.6%","7.1%","0.4%","0.1%","2.0%","90.4%","72.0%","2.6%","0.8%","9.6%","0.5%","0.1%","4.9%","0.1%","4.8%","(X)","","534,199","50.0%","50.0%"
"    Percent Margin of Error","","(X)","±0.1","±0.1","*****","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","(X)","*****","±0.1","±0.1","±0.1","(X)","*****","*****","(X)","±0.1","±0.1","","(X)","±0.2","±0.2","±0.2","±0.3","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","±0.1","±0.2","±0.1","±0.2","±0.2","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.3","±0.2","±0.1","±0.1","±0.1","±0.1","","(X)","±0.4","±0.1","±0.1","±0.1","±0.1","±0.3","","(X)","*****","±0.2","±0.1","±0.1","±0.2","*****","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","±0.1","±0.2","(X)","","(X)","±0.1","±0.1"
"Spokane County, Washington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","485,859","240,656","245,203","29,984","30,230","30,483","31,685","37,196","69,283","57,935","63,384","32,998","31,162","41,693","20,738","9,088","37.3","376,743","355,753","89,934","71,519","376,743","184,507","192,236","71,519","32,022","39,497","","485,859","466,135","19,724","466,135","431,646","8,754","6,487","371","272","81","428","11,327","906","1,939","1,971","1,247","920","2,185","2,159","2,171","365","337","314","1,155","5,750","19,724","4,280","6,118","3,967","290","","485,859","449,876","15,264","14,695","17,023","3,932","7,195","","485,859","25,143","18,053","1,474","400","5,216","460,716","415,979","8,346","5,823","11,224","2,104","212","17,028","262","16,766","207,008","","364,862","178,415","186,447"
"    Margin of Error","","*****","±86","±86","*****","±858","±858","±94","±121","±127","±94","±74","±862","±870","±140","±499","±504","±0.1","*****","±619","±797","±62","*****","±63","±63","±62","±24","±50","","*****","±1,011","±1,011","±1,011","±944","±523","±650","±224","±136","±63","±236","±556","±260","±388","±401","±306","±228","±441","±514","±222","±202","±208","±174","±303","±793","±1,011","±571","±599","±428","±135","","*****","±1,224","±379","±545","±207","±401","±826","","*****","*****","±926","±347","±172","±815","*****","±162","±493","±565","±536","±208","±131","±932","±119","±934","±340","","±837","±566","±498"
"    Percent","","485,859","49.5%","50.5%","6.2%","6.2%","6.3%","6.5%","7.7%","14.3%","11.9%","13.0%","6.8%","6.4%","8.6%","4.3%","1.9%","(X)","77.5%","73.2%","18.5%","14.7%","376,743","49.0%","51.0%","71,519","44.8%","55.2%","","485,859","95.9%","4.1%","95.9%","88.8%","1.8%","1.3%","0.1%","0.1%","0.0%","0.1%","2.3%","0.2%","0.4%","0.4%","0.3%","0.2%","0.4%","0.4%","0.4%","0.1%","0.1%","0.1%","0.2%","1.2%","4.1%","0.9%","1.3%","0.8%","0.1%","","485,859","92.6%","3.1%","3.0%","3.5%","0.8%","1.5%","","485,859","5.2%","3.7%","0.3%","0.1%","1.1%","94.8%","85.6%","1.7%","1.2%","2.3%","0.4%","0.0%","3.5%","0.1%","3.5%","(X)","","364,862","48.9%","51.1%"
"    Percent Margin of Error","","(X)","±0.1","±0.1","*****","±0.2","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","±0.2","±0.1","±0.1","±0.1","(X)","*****","±0.1","±0.2","±0.1","(X)","±0.1","±0.1","(X)","±0.1","±0.1","","(X)","±0.2","±0.2","±0.2","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","±0.2","±0.1","±0.1","±0.1","±0.1","","(X)","±0.3","±0.1","±0.1","±0.1","±0.1","±0.2","","(X)","*****","±0.2","±0.1","±0.1","±0.2","*****","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","±0.1","±0.2","(X)","","(X)","±0.1","±0.1"
"Stevens County, Washington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","43,744","21,911","21,833","2,368","2,336","3,128","2,927","2,005","3,678","4,525","6,048","3,740","3,994","5,701","2,392","902","46.4","33,977","32,519","11,266","8,995","33,977","16,804","17,173","8,995","4,491","4,504","","43,744","41,917","1,827","41,917","38,901","200","2,012","31","27","26","79","313","50","44","122","4","27","18","48","15","15","0","0","0","476","1,827","157","1,096","187","26","","43,744","40,664","396","3,325","672","148","552","","43,744","1,468","1,129","8","37","294","42,276","38,114","200","1,903","313","13","8","1,725","5","1,720","21,171","","33,545","16,607","16,938"
"    Margin of Error","","*****","±107","±107","±74","±206","±241","±70","±79","±96","±93","±174","±301","±304","±34","±130","±128","±0.5","±43","±172","±278","±48","±43","±40","±57","±48","±32","±42","","*****","±240","±240","±240","±141","±76","±175","±28","±26","±30","±49","±65","±66","±31","±56","±8","±24","±16","±38","±28","±28","±25","±25","±25","±122","±240","±81","±149","±54","±37","","*****","±256","±53","±66","±108","±24","±115","","*****","*****","±102","±10","±41","±101","*****","±13","±76","±179","±65","±28","±10","±226","±8","±226","±107","","±156","±79","±109"
"    Percent","","43,744","50.1%","49.9%","5.4%","5.3%","7.2%","6.7%","4.6%","8.4%","10.3%","13.8%","8.5%","9.1%","13.0%","5.5%","2.1%","(X)","77.7%","74.3%","25.8%","20.6%","33,977","49.5%","50.5%","8,995","49.9%","50.1%","","43,744","95.8%","4.2%","95.8%","88.9%","0.5%","4.6%","0.1%","0.1%","0.1%","0.2%","0.7%","0.1%","0.1%","0.3%","0.0%","0.1%","0.0%","0.1%","0.0%","0.0%","0.0%","0.0%","0.0%","1.1%","4.2%","0.4%","2.5%","0.4%","0.1%","","43,744","93.0%","0.9%","7.6%","1.5%","0.3%","1.3%","","43,744","3.4%","2.6%","0.0%","0.1%","0.7%","96.6%","87.1%","0.5%","4.4%","0.7%","0.0%","0.0%","3.9%","0.0%","3.9%","(X)","","33,545","49.5%","50.5%"
"    Percent Margin of Error","","(X)","±0.2","±0.2","±0.2","±0.5","±0.6","±0.2","±0.2","±0.2","±0.2","±0.4","±0.7","±0.7","±0.1","±0.3","±0.3","(X)","±0.1","±0.4","±0.6","±0.1","(X)","±0.1","±0.1","(X)","±0.3","±0.3","","(X)","±0.5","±0.5","±0.5","±0.3","±0.2","±0.4","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.3","±0.5","±0.2","±0.3","±0.1","±0.1","","(X)","±0.6","±0.1","±0.2","±0.2","±0.1","±0.3","","(X)","*****","±0.2","±0.1","±0.1","±0.2","*****","±0.1","±0.2","±0.4","±0.1","±0.1","±0.1","±0.5","±0.1","±0.5","(X)","","(X)","±0.2","±0.2"
"Thurston County, Washington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","266,311","130,394","135,917","15,809","16,076","16,683","16,273","17,334","37,466","34,637","34,985","18,632","17,895","24,479","11,502","4,540","38.8","207,512","197,930","51,385","40,521","207,512","99,848","107,664","40,521","18,178","22,343","","266,311","252,060","14,251","252,060","219,735","7,963","4,053","89","35","27","148","15,229","1,267","1,540","2,928","869","2,922","3,197","2,506","2,314","634","965","263","452","2,766","14,251","3,203","3,087","3,819","115","","266,311","232,556","12,723","8,482","20,874","3,757","4,092","","266,311","21,856","14,877","2,564","298","4,117","244,455","203,511","7,611","3,573","15,099","2,291","404","11,966","227","11,739","111,716","","199,826","96,308","103,518"
"    Margin of Error","","*****","±154","±154","±59","±695","±719","±227","±168","±219","±166","±147","±778","±761","±123","±435","±404","±0.2","*****","±508","±683","±130","*****","±50","±52","±130","±42","±125","","*****","±1,041","±1,041","±1,041","±865","±558","±487","±78","±51","±36","±114","±672","±460","±416","±580","±236","±667","±744","±556","±224","±322","±474","±282","±279","±572","±1,041","±534","±427","±539","±76","","*****","±1,114","±563","±489","±253","±345","±636","","*****","*****","±778","±634","±119","±639","*****","±189","±436","±345","±675","±214","±171","±847","±129","±832","±179","","±853","±478","±501"
"    Percent","","266,311","49.0%","51.0%","5.9%","6.0%","6.3%","6.1%","6.5%","14.1%","13.0%","13.1%","7.0%","6.7%","9.2%","4.3%","1.7%","(X)","77.9%","74.3%","19.3%","15.2%","207,512","48.1%","51.9%","40,521","44.9%","55.1%","","266,311","94.6%","5.4%","94.6%","82.5%","3.0%","1.5%","0.0%","0.0%","0.0%","0.1%","5.7%","0.5%","0.6%","1.1%","0.3%","1.1%","1.2%","0.9%","0.9%","0.2%","0.4%","0.1%","0.2%","1.0%","5.4%","1.2%","1.2%","1.4%","0.0%","","266,311","87.3%","4.8%","3.2%","7.8%","1.4%","1.5%","","266,311","8.2%","5.6%","1.0%","0.1%","1.5%","91.8%","76.4%","2.9%","1.3%","5.7%","0.9%","0.2%","4.5%","0.1%","4.4%","(X)","","199,826","48.2%","51.8%"
"    Percent Margin of Error","","(X)","±0.1","±0.1","±0.1","±0.3","±0.3","±0.1","±0.1","±0.1","±0.1","±0.1","±0.3","±0.3","±0.1","±0.2","±0.2","(X)","*****","±0.2","±0.3","±0.1","(X)","±0.1","±0.1","(X)","±0.2","±0.2","","(X)","±0.4","±0.4","±0.4","±0.3","±0.2","±0.2","±0.1","±0.1","±0.1","±0.1","±0.3","±0.2","±0.2","±0.2","±0.1","±0.3","±0.3","±0.2","±0.1","±0.1","±0.2","±0.1","±0.1","±0.2","±0.4","±0.2","±0.2","±0.2","±0.1","","(X)","±0.4","±0.2","±0.2","±0.1","±0.1","±0.2","","(X)","*****","±0.3","±0.2","±0.1","±0.2","*****","±0.1","±0.2","±0.1","±0.3","±0.1","±0.1","±0.3","±0.1","±0.3","(X)","","(X)","±0.1","±0.1"
"Wahkiakum County, Washington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","4,051","1,975","2,076","141","115","233","274","216","255","358","569","253","368","827","347","95","53.1","3,392","3,248","1,491","1,269","3,392","1,688","1,704","1,269","636","633","","4,051","3,978","73","3,978","3,761","5","101","6","0","0","0","78","0","43","11","0","9","0","15","1","0","1","0","0","32","73","4","38","5","0","","4,051","3,834","9","139","85","1","58","","4,051","188","137","36","0","15","3,863","3,633","5","85","78","1","0","61","14","47","2,087","","3,352","1,679","1,673"
"    Margin of Error","","*****","±61","±61","±42","±56","±70","±81","±41","±57","±59","±72","±68","±79","±67","±78","±43","±1.3","±73","±86","±100","±77","±73","±72","±57","±77","±48","±50","","*****","±55","±55","±55","±78","±9","±42","±8","±12","±12","±12","±29","±12","±39","±19","±12","±14","±12","±25","±2","±12","±2","±12","±12","±39","±55","±8","±32","±9","±12","","*****","±67","±11","±39","±29","±2","±49","","*****","±46","±57","±35","±12","±17","±46","±68","±9","±38","±29","±2","±12","±47","±22","±38","±89","","±72","±73","±58"
"    Percent","","4,051","48.8%","51.2%","3.5%","2.8%","5.8%","6.8%","5.3%","6.3%","8.8%","14.0%","6.2%","9.1%","20.4%","8.6%","2.3%","(X)","83.7%","80.2%","36.8%","31.3%","3,392","49.8%","50.2%","1,269","50.1%","49.9%","","4,051","98.2%","1.8%","98.2%","92.8%","0.1%","2.5%","0.1%","0.0%","0.0%","0.0%","1.9%","0.0%","1.1%","0.3%","0.0%","0.2%","0.0%","0.4%","0.0%","0.0%","0.0%","0.0%","0.0%","0.8%","1.8%","0.1%","0.9%","0.1%","0.0%","","4,051","94.6%","0.2%","3.4%","2.1%","0.0%","1.4%","","4,051","4.6%","3.4%","0.9%","0.0%","0.4%","95.4%","89.7%","0.1%","2.1%","1.9%","0.0%","0.0%","1.5%","0.3%","1.2%","(X)","","3,352","50.1%","49.9%"
"    Percent Margin of Error","","(X)","±1.5","±1.5","±1.0","±1.4","±1.7","±2.0","±1.0","±1.4","±1.5","±1.8","±1.7","±2.0","±1.6","±1.9","±1.1","(X)","±1.8","±2.1","±2.5","±1.9","(X)","±1.6","±1.6","(X)","±2.3","±2.3","","(X)","±1.4","±1.4","±1.4","±1.9","±0.2","±1.0","±0.2","±0.8","±0.8","±0.8","±0.7","±0.8","±1.0","±0.5","±0.8","±0.3","±0.8","±0.6","±0.1","±0.8","±0.1","±0.8","±0.8","±1.0","±1.4","±0.2","±0.8","±0.2","±0.8","","(X)","±1.7","±0.3","±1.0","±0.7","±0.1","±1.2","","(X)","±1.1","±1.4","±0.9","±0.8","±0.4","±1.1","±1.7","±0.2","±0.9","±0.7","±0.1","±0.8","±1.2","±0.5","±0.9","(X)","","(X)","±1.7","±1.7"
"Walla Walla County, Washington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","59,809","30,670","29,139","3,408","3,552","3,645","4,733","5,427","7,375","6,769","7,422","4,060","3,629","5,120","2,933","1,736","37.3","46,983","42,865","11,871","9,789","46,983","24,056","22,927","9,789","4,314","5,475","","59,809","57,395","2,414","57,395","50,996","946","520","34","0","0","8","985","66","324","214","159","84","105","33","115","75","0","13","27","3,833","2,414","259","710","456","146","","59,809","53,110","1,502","1,556","1,689","308","4,334","","59,809","12,508","11,281","91","175","961","47,301","43,428","887","269","946","51","104","1,616","29","1,587","23,883","","42,760","21,900","20,860"
"    Margin of Error","","*****","±105","±105","±81","±337","±322","±148","±132","±128","±157","±181","±258","±254","±112","±234","±236","±0.6","±173","±361","±257","±57","±173","±179","±73","±57","±42","±51","","*****","±401","±401","±401","±674","±181","±229","±29","±28","±28","±15","±156","±69","±182","±103","±93","±58","±89","±27","±82","±74","±28","±21","±31","±657","±401","±113","±145","±175","±88","","*****","±652","±96","±268","±198","±120","±654","","*****","*****","±324","±73","±126","±275","*****","±91","±158","±118","±144","±42","±88","±239","±34","±232","±200","","±491","±300","±316"
"    Percent","","59,809","51.3%","48.7%","5.7%","5.9%","6.1%","7.9%","9.1%","12.3%","11.3%","12.4%","6.8%","6.1%","8.6%","4.9%","2.9%","(X)","78.6%","71.7%","19.8%","16.4%","46,983","51.2%","48.8%","9,789","44.1%","55.9%","","59,809","96.0%","4.0%","96.0%","85.3%","1.6%","0.9%","0.1%","0.0%","0.0%","0.0%","1.6%","0.1%","0.5%","0.4%","0.3%","0.1%","0.2%","0.1%","0.2%","0.1%","0.0%","0.0%","0.0%","6.4%","4.0%","0.4%","1.2%","0.8%","0.2%","","59,809","88.8%","2.5%","2.6%","2.8%","0.5%","7.2%","","59,809","20.9%","18.9%","0.2%","0.3%","1.6%","79.1%","72.6%","1.5%","0.4%","1.6%","0.1%","0.2%","2.7%","0.0%","2.7%","(X)","","42,760","51.2%","48.8%"
